param :	Ob:		PDa		QDa		PDb		QDb		PDc		QDc		Tipo	Nivel_b		alfa_a	alfa_b	alfa_c	beta_a	beta_b	beta_c:=	
#888	    0.0000  0.0000  0.0000  0.0000	0.0000	0.0000	1	1	0.00	0.00	0.00	0.00	0.00	0.00
#1	    0.0000  0.0000  0.0000  0.0000	0.0000	0.0000	0	1	0.00	0.00	0.00	0.00	0.00	0.00
#2	    0.0000  0.0000  0.0000  0.0000  0.0000	0.0000	0	1	0.00	0.00	0.00	0.00	0.00	0.00
#3	    0.0000  0.0000  0.0000  0.0000  0.0000  0.0000	0	1	0.00	0.00	0.00	0.00	0.00	0.00
4	    0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  1	1	0.00	0.00	0.00	0.00	0.00	0.00
#5	    35.590  17.260  36.660  17.650  34.330  16.190  0	1	1.25	1.25	1.25	3.50	3.50	3.50
#6	    38.800  17.945  39.960  18.620  37.340  16.780  0	1	0.18	0.18	0.18	6.00	6.00	6.00
#7	    35.590  17.260  36.660  17.650  34.330  16.190  0	1	1.25	1.25	1.25	3.50	3.50	3.50
#8	    35.590  17.260  36.660  17.650  34.330  16.190  0	1	1.25	1.25	1.25	3.50	3.50	3.50
#9	    0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0	1	0.00	0.00	0.00	0.00	0.00	0.00
#10	    35.590  7.5600  36.660  7.9500  34.330  6.4900  0	1	1.25	1.25	1.25	3.50	3.50	3.50
#11	    0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0	1	0.00	0.00	0.00	0.00	0.00	0.00
#12	    0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0	1	0.00	0.00	0.00	0.00	0.00	0.00
#13	    0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0	1	0.00	0.00	0.00	0.00	0.00	0.00
#14	    0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0	1	0.00	0.00	0.00	0.00	0.00	0.00
#15	    38.800  17.940  39.960  18.620  37.340  16.780  0	1	0.18	0.18	0.18	6.00	6.00	6.00
#16	    0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0	1	0.00	0.00	0.00	0.00	0.00	0.00
#17	    0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0	1	0.00	0.00	0.00	0.00	0.00	0.00
#18	    3.0000  1.4500  3.0000  1.4500  3.0000  1.4500  0	1	1.25	1.25	1.25	3.50	3.50	3.50
#19	    21.710  11.120  23.140  11.850  20.020  10.710  0	1	1.25	1.25	1.25	3.50	3.50	3.50
#20	    0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0	1	0.00	0.00	0.00	0.00	0.00	0.00
#22	    0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0	1	0.00	0.00	0.00	0.00	0.00	0.00
401	    1.9400  0.6208  2.0370  0.6402  1.7460	0.5626	0	2	0.72	0.72	0.72	2.96	2.96	2.96
402	    1.7460  0.5626  1.9400  0.6208  1.4550	0.4656	0	2	0.72	0.72	0.72	2.96	2.96	2.96
403	    0.0000  0.0000  1.1640  0.3686  1.3580	0.4268	0	2	0.72	0.72	0.72	2.96	2.96	2.96
404	    1.9400  0.6208	2.0370  0.6402	1.7460	0.5626	0	2	0.72	0.72	0.72	2.96	2.96	2.96
405	    1.7460	0.5626	1.9400	0.6208	1.4550	0.4656	0	2	0.72	0.72	0.72	2.96	2.96	2.96
